Track,Year,Percentuale_acceleratore_premuto,Numero_cambi_marcia,Numero_frenate,Percentuale_freno,Percentuale_acc_parzializzato
Saudi Arabian Grand Prix,2023,0.5561959654178674,6.563253043472812,1.3126506086945622,0.17723342939481268,0.11815561959654179
Saudi Arabian Grand Prix,2023,0.5154362416107383,6.909773378885855,1.8097025516129621,0.18926174496644296,0.15704697986577182
Saudi Arabian Grand Prix,2023,0.550744248985115,5.901558500095448,1.3114574444656553,0.16238159675236807,0.14208389715832206
Saudi Arabian Grand Prix,2023,0.634965034965035,6.058194964887543,1.3098799924081173,0.13286713286713286,0.0979020979020979
Saudi Arabian Grand Prix,2023,0.6371077762619373,5.893245710066245,1.1459088880684365,0.12824010914051842,0.09140518417462483
Saudi Arabian Grand Prix,2023,0.6461748633879781,6.056838590992686,1.309586722376797,0.13934426229508196,0.10382513661202186
Saudi Arabian Grand Prix,2023,0.6408045977011494,6.22812368019561,1.1472859410886649,0.13218390804597702,0.10201149425287356
Saudi Arabian Grand Prix,2023,0.6346967559943583,6.223306746839009,1.3101698414397913,0.13540197461212977,0.09873060648801128
Saudi Arabian Grand Prix,2023,0.5831062670299727,5.39684883031028,1.3083269891661287,0.14168937329700274,0.1444141689373297
Saudi Arabian Grand Prix,2023,0.6101928374655647,5.231381164146456,1.307845291036614,0.15289256198347106,0.13774104683195593
Saudi Arabian Grand Prix,2023,0.6189821182943603,5.069193427384972,1.3081789490025735,0.1279229711141678,0.13204951856946354
Saudi Arabian Grand Prix,2023,0.6191819464033851,5.248625010457069,1.3121562526142672,0.12976022566995768,0.12976022566995768
Saudi Arabian Grand Prix,2023,0.6223776223776224,5.568337260676867,1.310197002512204,0.14125874125874127,0.13706293706293707
Saudi Arabian Grand Prix,2023,0.6338028169014085,5.891993855670977,1.6366649599086047,0.1619718309859155,0.1056338028169014
Saudi Arabian Grand Prix,2023,0.6187150837988827,5.899029105493061,1.4747572763732653,0.15502793296089384,0.10893854748603352
Saudi Arabian Grand Prix,2023,0.6312056737588653,5.583944942225403,1.4781030729420186,0.14042553191489363,0.12340425531914893
Saudi Arabian Grand Prix,2023,0.6230876216968011,6.062913040133712,1.6386251459820844,0.1474269819193324,0.08623087621696801
Saudi Arabian Grand Prix,2023,0.6136054421768707,6.222536142956081,1.4737585601738086,0.15510204081632653,0.11020408163265306
Saudi Arabian Grand Prix,2023,0.5694444444444444,7.552664300700741,1.3135068349044767,0.17916666666666667,0.1361111111111111
Saudi Arabian Grand Prix,2023,0.6190476190476191,6.583267364961331,1.3166534729922663,0.14285714285714285,0.11904761904761904
Saudi Arabian Grand Prix,2023,0.5751724137931035,6.569640228729727,1.3139280457459455,0.15862068965517243,0.16413793103448276
Saudi Arabian Grand Prix,2023,0.6036671368124118,6.8954452229803405,1.4775954049243587,0.1607898448519041,0.13540197461212977
Saudi Arabian Grand Prix,2023,0.6002805049088359,6.400254105415622,1.4769817166343744,0.17952314165497896,0.13043478260869565
Saudi Arabian Grand Prix,2023,0.6271676300578035,5.88430107559943,1.3076224612443177,0.13439306358381503,0.0838150289017341
Saudi Arabian Grand Prix,2023,0.6345609065155807,6.3793589184031765,1.3085864448006517,0.13314447592067988,0.09348441926345609
Saudi Arabian Grand Prix,2023,0.6517482517482518,6.065220683794564,1.3113990667663922,0.13286713286713286,0.0951048951048951
Saudi Arabian Grand Prix,2023,0.6342857142857142,6.0449951226069025,1.3070259724555464,0.13714285714285715,0.10571428571428572
Saudi Arabian Grand Prix,2023,0.6310679611650486,5.889500953158843,1.308777989590854,0.1317614424410541,0.09847434119278779
Saudi Arabian Grand Prix,2023,0.6183098591549295,5.558876462555684,1.4714672989117987,0.14084507042253522,0.12394366197183099
Saudi Arabian Grand Prix,2023,0.6403385049365303,5.394804603263149,1.4713103463444952,0.14245416078984485,0.12411847672778561
Saudi Arabian Grand Prix,2023,0.6613603473227206,5.581190858620684,1.3132213784989846,0.1345875542691751,0.12735166425470332
Saudi Arabian Grand Prix,2023,0.6534653465346535,5.4087103670458045,1.4751028273761284,0.1272984441301273,0.12022630834512023
Saudi Arabian Grand Prix,2023,0.6329113924050633,5.733596055329792,1.3105362412182382,0.1589310829817159,0.11392405063291139
Saudi Arabian Grand Prix,2023,0.6947960618846695,6.3811054920301515,1.3089447163138772,0.13783403656821377,0.10126582278481013
Saudi Arabian Grand Prix,2023,0.6553191489361702,6.207725576803717,1.306889595116572,0.14609929078014183,0.09078014184397164
Saudi Arabian Grand Prix,2023,0.6422413793103449,6.548383212836927,1.3096766425673854,0.14798850574712644,0.09051724137931035
Saudi Arabian Grand Prix,2023,0.6355810616929699,5.73280568738819,1.310355585688729,0.1406025824964132,0.09325681492109039
Saudi Arabian Grand Prix,2023,0.6331444759206799,6.542677581279995,1.308535516255999,0.13172804532577903,0.10623229461756374
Saudi Arabian Grand Prix,2023,0.6606397774687065,5.873025253140949,1.4682563132852373,0.1376912378303199,0.10152990264255911
Saudi Arabian Grand Prix,2023,0.6666666666666666,5.555544129668591,1.470585210794627,0.15013774104683195,0.10743801652892562
Saudi Arabian Grand Prix,2023,0.6119610570236439,5.391975168562981,1.3071454954092074,0.1502086230876217,0.1168289290681502
Saudi Arabian Grand Prix,2023,0.6449375866851595,5.725388592229809,1.308660249652528,0.14424410540915394,0.11511789181692095
Saudi Arabian Grand Prix,2023,0.6337047353760445,5.558810118101763,1.3079553219062972,0.14066852367688024,0.11977715877437325
Saudi Arabian Grand Prix,2023,0.5853994490358126,6.242162548850433,1.3141394839685123,0.13360881542699724,0.15151515151515152
Saudi Arabian Grand Prix,2023,0.5722222222222222,6.065731759616022,1.147570873440869,0.12916666666666668,0.14166666666666666
Saudi Arabian Grand Prix,2023,0.5674931129476584,6.399668255996824,1.3127524627685792,0.15151515151515152,0.12258953168044077
Saudi Arabian Grand Prix,2023,0.5837988826815642,6.555057563788385,1.3110115127576771,0.13687150837988826,0.1452513966480447
Saudi Arabian Grand Prix,2023,0.5637393767705382,6.414532729241092,1.3158015854853522,0.12889518413597734,0.12889518413597734
Australian Grand Prix,2023,0.665016501650165,5.937868101886815,1.3408089262325067,0.12706270627062707,0.14356435643564355
Australian Grand Prix,2023,0.6435643564356436,6.314488538059054,1.3394369626185871,0.1485148514851485,0.15016501650165018
Australian Grand Prix,2023,0.6417910447761194,6.137239203152666,1.3425210756896457,0.13432835820895522,0.16417910447761194
Australian Grand Prix,2023,0.6474358974358975,6.504135406590608,1.33908670135689,0.13141025641025642,0.14423076923076922
